NTNG1	"NTNG1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GABBR2	"GABBR2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MECP2	"MECP2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SMC1A	"SMC1A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CREBBP	"CREBBP"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ALG11	"ALG11"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
NLGN1	"NLGN1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SH2B1	"SH2B1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GRIN1	"GRIN1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TET3	"TET3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
EP300	"EP300"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
POLA1	"POLA1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MBD5	"MBD5"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
HERC1	"HERC1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GRIK2	"GRIK2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MAN2C1	"MAN2C1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
FMR1	"FMR1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SYNGAP1	"SYNGAP1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CHMP1A	"CHMP1A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CNTNAP2	"CNTNAP2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
WARS2	"WARS2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GTF2H5	"GTF2H5"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CARS1	"CARS1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ERCC2	"ERCC2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
RNF113A	"RNF113A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MPLKIP	"MPLKIP"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TARS1	"TARS1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
AARS1	"AARS1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ERCC3	"ERCC3"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GTF2E2	"GTF2E2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TBR1	"TBR1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SLC2A1	"SLC2A1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
AP2M1	"AP2M1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SCN1A	"SCN1A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CHD2	"CHD2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SLC6A1	"SLC6A1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
IQSEC2	"IQSEC2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PLA2G6	"PLA2G6"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
VPS13C	"VPS13C"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PARK7	"PARK7"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
UCHL1	"UCHL1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
HTRA2	"HTRA2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
LRRK2	"LRRK2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
DNAJC6	"DNAJC6"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SNCA	"SNCA"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PODXL	"PODXL"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PINK1	"PINK1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SNRPN	"SNRPN"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
NF1	"NF1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
VPS13A	"VPS13A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SMARCA2	"SMARCA2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PIGH	"PIGH"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CHAMP1	"CHAMP1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
DDX59	"DDX59"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SRRM2	"SRRM2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
STX1A	"STX1A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CLIP2	"CLIP2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
DNAJC30	"DNAJC30"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
FKBP6	"FKBP6"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
RFC2	"RFC2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GTF2I	"GTF2I"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
LIMK1	"LIMK1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
